"uuid","nickname","country","points","overall","CRYSTAL_tier","CRYSTAL_peak","CRYSTAL_worst","CRYSTAL_value","CRYSTAL_retired","CRYSTAL_restricted","SWORD_tier","SWORD_peak","SWORD_worst","SWORD_value","SWORD_retired","SWORD_restricted","SMP_tier","SMP_peak","SMP_worst","SMP_value","SMP_retired","SMP_restricted","MACE_tier","MACE_peak","MACE_worst","MACE_value","MACE_retired","MACE_restricted","NETHERITE_POT_tier","NETHERITE_POT_peak","NETHERITE_POT_worst","NETHERITE_POT_value","NETHERITE_POT_retired","NETHERITE_POT_restricted","AXE_tier","AXE_peak","AXE_worst","AXE_value","AXE_retired","AXE_restricted"
"c13289e5-169b-405c-b159-5a66fc94bcc2","Bediaas","BR","0","2443","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ef809015-6c9a-427c-a2a6-d6797c263288","_Chelby","BR","0","2444","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c654b424-9add-47a4-8078-4835c93349f9","EnderXS2","BR","0","2445","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"63f0f8ee-9c4d-4175-bc81-21223e542e88","zPaladin","BR","0","2446","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"031c2c0f-6e30-487c-8d03-605091f0f7bf","yra__","BR","0","2447","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"99b995a2-c0c1-4d9f-98b1-86551f2671db","Indeterminado_","BR","0","2448","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"03b30ad7-ab74-450a-b826-23d0412ca81f","thomaznoc","BR","0","2449","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"a174528c-5088-4c7b-a266-bcbc7e83debb","Luanzinnx","BR","0","2450","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c61f3f9f-7e47-4492-bcf2-a42bfcf7782a","SrJoguinhos","BR","0","2451","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50e4823d-1dbb-46e9-8f27-836d48ff510b","Tutuzimm","BR","0","2452","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0e0ca095-52d5-4ee1-b481-660403ffe2d2","fe12soares","BR","0","2453","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6ac322f6-ad62-47a0-b72a-854b05f8972c","Bebado","BR","0","2454","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d0bb3b0b-53b9-40f3-842e-6b32564d3d44","Estrelo_Guy","BR","0","2455","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"aa57444c-af87-4647-a171-29253001ce8d","unknw7","BR","0","2456","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"69d2fce7-0cd7-4865-9baa-5b1127614c98","Santin_Speedzinn","BR","0","2457","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"04685851-13d0-4139-8afc-9fe8e9fc362d","balzur","BR","0","2458","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d9426a61-3e10-4d26-9693-797b7637fdde","molinaiou","BR","0","2459","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"082c9f35-125a-4a2a-916f-d3efec5e9e1b","tomijado00","BR","0","2460","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dc845e1a-6922-47cc-ab19-b683010d2ade","Akira_Miss","BR","0","2461","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bdc2a412-6b02-46c5-be63-8da06cb4ac93","robogg133","BR","0","2462","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d46091f9-b2ca-4bc0-93b8-29444c60f03c","koster77","BR","0","2463","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"62b5fda3-232c-4243-a8d4-8bb5ec39eeb4","cloudyhzzx","BR","0","2464","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42e4c1dc-0fef-4a01-ad0a-4fa0a9e92211","Pankratt","BR","0","2465","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"71e1e7f8-7fb0-4c32-8e8d-3c6bbb5ad432","RyasTheKiller","BR","0","2466","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"83220bd7-0922-4962-93fd-56ced8da1103","ENALDINHO6767","BR","0","2467","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"05366417-0e0b-488b-b268-3aa4a00fbf1c","highsamuca","BR","0","2468","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c4a79662-c1f8-4261-b934-37e38cde61d7","Referi_","AR","0","2469","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8f6c4142-0c20-4202-b674-7345ae18de70","AresYasui","BR","0","2470","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f0488f5a-1886-42a7-918a-15a13dc4b689","fallenas","BR","0","2471","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"52bd51b6-505b-42d2-a7b0-882f7e863b96","z1__","BR","0","2472","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ac3a5d0c-1e75-4d4a-ba81-bc618fb8b83a","h4teboy","BR","0","2473","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"013db61b-857c-445f-8a88-6fd6e55f240e","skitw","BR","0","2474","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"675cbdda-ffd2-4f75-90db-2e7082566280","Gustaw112","BR","0","2475","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d00db922-3e20-461c-adae-3a4efdc51865","Redizin","BR","0","2476","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"95735492-2a62-4537-829c-9e584c8e4173","gwbzin","BR","0","2477","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d0a206c4-4146-48e4-a5c6-5db4a0eba251","HHenriqueGamer","BR","0","2478","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"731c8be4-e470-4c68-8dbb-8b062c05b864","PintinhoMc","BR","0","2479","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"881d0a7c-e706-4d1f-a505-44a5ae5a993c","Dabbsmcz","BR","0","2480","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
